van;aantal
2019-08-01T00:00:00;16
2019-08-01T00:15:00;11
2019-08-01T00:30:00;19
2019-08-01T00:45:00;5
2019-08-01T01:00:00;8
2019-08-01T01:15:00;7
2019-08-01T01:30:00;7
2019-08-01T01:45:00;3
2019-08-01T02:00:00;9
2019-08-01T02:15:00;4
2019-08-01T02:30:00;7
2019-08-01T02:45:00;6
2019-08-01T03:00:00;9
2019-08-01T03:15:00;5
2019-08-01T03:30:00;2
2019-08-01T03:45:00;3
2019-08-01T04:00:00;4
2019-08-01T04:15:00;9
2019-08-01T04:30:00;10
2019-08-01T04:45:00;15
2019-08-01T05:00:00;12
2019-08-01T05:15:00;22
2019-08-01T05:30:00;42
2019-08-01T05:45:00;20
2019-08-01T06:00:00;40
2019-08-01T06:15:00;65
2019-08-01T06:30:00;96
2019-08-01T06:45:00;110
2019-08-01T07:00:00;112
2019-08-01T07:15:00;124
2019-08-01T07:30:00;203
2019-08-01T07:45:00;188
2019-08-01T08:00:00;160
2019-08-01T08:15:00;179
2019-08-01T08:30:00;133
2019-08-01T08:45:00;124
2019-08-01T09:00:00;102
2019-08-01T09:15:00;110
2019-08-01T09:30:00;114
2019-08-01T09:45:00;142
2019-08-01T10:00:00;148
2019-08-01T10:15:00;95
2019-08-01T10:30:00;121
2019-08-01T10:45:00;144
2019-08-01T11:00:00;166
2019-08-01T11:15:00;135
2019-08-01T11:30:00;162
2019-08-01T11:45:00;149
2019-08-01T12:00:00;126
2019-08-01T12:15:00;114
2019-08-01T12:30:00;137
2019-08-01T12:45:00;139
2019-08-01T13:00:00;139
2019-08-01T13:15:00;160
2019-08-01T13:30:00;164
2019-08-01T13:45:00;145
2019-08-01T14:00:00;151
2019-08-01T14:15:00;185
2019-08-01T14:30:00;159
2019-08-01T14:45:00;153
2019-08-01T15:00:00;180
2019-08-01T15:15:00;161
2019-08-01T15:30:00;188
2019-08-01T15:45:00;194
2019-08-01T16:00:00;231
2019-08-01T16:15:00;218
2019-08-01T16:30:00;248
2019-08-01T16:45:00;253
2019-08-01T17:00:00;268
2019-08-01T17:15:00;211
2019-08-01T17:30:00;234
2019-08-01T17:45:00;217
2019-08-01T18:00:00;229
2019-08-01T18:15:00;180
2019-08-01T18:30:00;161
2019-08-01T18:45:00;145
2019-08-01T19:00:00;123
2019-08-01T19:15:00;127
2019-08-01T19:30:00;86
2019-08-01T19:45:00;105
2019-08-01T20:00:00;119
2019-08-01T20:15:00;103
2019-08-01T20:30:00;84
2019-08-01T20:45:00;79
2019-08-01T21:00:00;51
2019-08-01T21:15:00;77
2019-08-01T21:30:00;77
2019-08-01T21:45:00;66
2019-08-01T22:00:00;61
2019-08-01T22:15:00;40
2019-08-01T22:30:00;47
2019-08-01T22:45:00;40
2019-08-01T23:00:00;41
2019-08-01T23:15:00;15
2019-08-01T23:30:00;34
2019-08-01T23:45:00;11
2019-08-02T00:00:00;17
2019-08-02T00:15:00;17
2019-08-02T00:30:00;14
2019-08-02T00:45:00;21
2019-08-02T01:00:00;11
2019-08-02T01:15:00;9
2019-08-02T01:30:00;8
2019-08-02T01:45:00;13
2019-08-02T02:00:00;13
2019-08-02T02:15:00;5
2019-08-02T02:30:00;6
2019-08-02T02:45:00;5
2019-08-02T03:00:00;3
2019-08-02T03:15:00;5
2019-08-02T03:30:00;4
2019-08-02T03:45:00;6
2019-08-02T04:00:00;6
2019-08-02T04:15:00;8
2019-08-02T04:30:00;14
2019-08-02T04:45:00;12
2019-08-02T05:00:00;10
2019-08-02T05:15:00;20
2019-08-02T05:30:00;29
2019-08-02T05:45:00;23
2019-08-02T06:00:00;37
2019-08-02T06:15:00;38
2019-08-02T06:30:00;68
